category,sub_category,crimeaditionalinfo,processed_text
Hacking  Damage to computercomputer system etc,Email Hacking,"Kindly help me Some one hacked my sudikshabeautyparlour On march I am using this Id last  year

They ask for money He changed my recovery email address and phone number So i am unable to recover my email He also locked my phone by this email I am sending you hacker mobile no 

 
And also change the my business page
I am sending you a screenshot

Kindly do the action at earliest",kindli help one hack sudikshabeautyparlour march use id last year ask money chang recoveri email address phone number unabl recov email also lock phone email send hacker mobil also chang busi page send screenshot kindli action earliest
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Mujhe   is number se call aaya tha kal wo lady bol rahi thi sir me peony cash se bol rahi hun app ko  ka loan offer aaya hai peony cash application se aap ko link par ja kar app download kar na hai aur us me information bhar k lekin mujhe  ka loan offer dikha aur sumbit kar ne k bad  ka loan aaye ga lekin kuch nahi aaya jabarjasti loan lene k liye ukshaya gaya mujhe wo loan amount mere accounte transfer hua  me app se kha na chah ta hun ki ye application NBFC Register nahi hai is k bad mujhe Call bhara dhamki aa sakta in  din k andar aap is application par action le,mujh number se call aaya tha kal wo ladi bol rahi thi sir peoni cash se bol rahi hun app ko ka loan offer aaya hai peoni cash applic se aap ko link par ja kar app download kar na hai aur us inform bhar k lekin mujh ka loan offer dikha aur sumbit kar ne k bad ka loan aay ga lekin kuch nahi aaya jabarjasti loan lene k liy ukshaya gaya mujh wo loan amount mere account transfer hua app se kha na chah ta hun ki ye applic nbfc regist nahi hai k bad mujh call bhara dhamki aa sakta din k andar aap applic par action le
Hacking  Damage to computercomputer system etc,Tampering with computer source documents,"Sir please help me
Date
Sir mere document hack ho gaye haisir me aap se nivedan karta hu ki aagar bhavishy me mere document ka galat upyog hota haitho me eska jimedar nhi hoyoga 

Sir mere document aadhar cardpencardphoto and contact list etc

Sir mere document ka galat upyog hota hai jese account openloansimcardetc Tho me eska jimedar nhi ho payouga",sir pleas help date sir mere document hack ho gay haisir aap se nivedan karta hu ki aagar bhavishi mere document ka galat upyog hota haitho eska jimedar nhi hoyoga sir mere document aadhar cardpencardphoto contact list etc sir mere document ka galat upyog hota hai jese account openloansimcardetc tho eska jimedar nhi ho payouga
Hacking  Damage to computercomputer system etc,Email Hacking,"Sir My facebook account has hacked by someone Hacker had changed my profile name and date of birth I have phone number and email
Login email is lovelynaobagmailcom
phone no 
Old username Athemba P
Date of Birth  June 
Hacker change Username is Pathan Nuri Mistarkhan
Please review my request and solve my problem My account is very important for me
Thank you",sir facebook account hack someon hacker chang profil name date birth phone number email login email lovelynaobagmailcom phone old usernam athemba p date birth june hacker chang usernam pathan nuri mistarkhan pleas review request solv problem account import thank
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,SirMere sath dhokha hua hai mera Addhar card pan card ka galat istemaal kar rahe Hai aur mere contact logo ko preshan kar rahe hai aur mujhe blackmail kar rahe hai Aur mere addhar card aur pan card se loan lete hai mujhe harshment kar rahe hai please sir,sirmer sath dhokha hua hai mera addhar card pan card ka galat istema kar rahe hai aur mere contact logo ko preshan kar rahe hai aur mujh blackmail kar rahe hai aur mere addhar card aur pan card se loan lete hai mujh harshment kar rahe hai pleas sir
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,As per me my instagram id was hacked  since las  i got a msg from my slef instagram account need your help to clearification also i have received  multiple  msgs from my self id  dont have i phone but my id showing login in i phone,per instagram id hack sinc la got msg slef instagram account need help clearif also receiv multipl msg self id dont phone id show login phone
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"Sir  maine emergency me ek Loan app se  Rupay Loan liya tha  or usko Time pe wapis bhi kar diya hu  lekin usne mera aadhar card pan card or mera mobile ka sara  photo mera sara contact Number Hack kar liya hai jisko wo ab miss use kar Rha hai or mera sare contact ko call kar Rha hai or Gandi Gandi Gaaliyan De Rha hai or paise maang Rha hai 
Sir mai bahut pareshan hu mujhe bahut Torchar kiya ja Rha hai",sir main emerg ek loan app se rupay loan liya tha usko time pe wapi bhi kar diya hu lekin usn mera aadhar card pan card mera mobil ka sara photo mera sara contact number hack kar liya hai jisko wo ab miss use kar rha hai mera sare contact ko call kar rha hai gandi gandi gaaliyan de rha hai pais maang rha hai sir mai bahut pareshan hu mujh bahut torchar kiya ja rha hai
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,They have hacked my phone and collected details of my adhar card pan number and photos of me and sending to my contacts as fraud and harassing me everyday please check on the fraud numbers they are calling every time and troubing my contacts they say they are from loan company and talking vulgar words to everyone  they are the worst people to talk to and everyday call from different numbers Please block these FRAUDULENT people,hack phone collect detail adhar card pan number photo send contact fraud harass everyday pleas check fraud number call everi time troub contact say loan compani talk vulgar word everyon worst peopl talk everyday call differ number pleas block fraudul peopl
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Sir mene loan ke liye apply kiya tha mene ek person ko saari jaankari de di muje paise ki itni jarurat thi me kuch bata hi nhi skta usne mere name pe account kholle hai saiyad muje dar is baat ka hai kahi wo mere pan aur adhaar ka miss use naa kr le me  sreanshot bhi dala hai jisme loan apps ka name hai jisse mene loan liya hai wo muje galliye de rhe hai meri contact list pe bhi phone kr rhe hai sir agar mere pan card aur adhaar ka dusri jagah miss use naa hobisliye me apko ek comple fil kr rha hu taaki inse mera koi bhi lena dena nhi dhanyawad sir,sir mene loan ke liy appli kiya tha mene ek person ko saari jaankari de di muje pais ki itni jarurat thi kuch bata hi nhi skta usn mere name pe account kholl hai saiyad muje dar baat ka hai kahi wo mere pan aur adhaar ka miss use naa kr le sreanshot bhi dala hai jism loan app ka name hai jiss mene loan liya hai wo muje galliy de rhe hai meri contact list pe bhi phone kr rhe hai sir agar mere pan card aur adhaar ka dusri jagah miss use naa hobisliy apko ek compl fil kr rha hu taaki ins mera koi bhi lena dena nhi dhanyawad sir
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Sir  I had taken a loan of Rs  from a loan app viz Landmall on  Jan   The repayment date was  Feb  and the repayment amount was   I did the repayment on  Feb  but now they ate denying that I have not repaid my loan amount and threatening to create a Whattsapp group by illegally accessing my phone contacts  They also threatened me to leak my PAN card details and Aadhar card no  Plz help sir,sir taken loan rs loan app viz landmal jan repay date feb repay amount repay feb ate deni repaid loan amount threaten creat whattsapp group illeg access phone contact also threaten leak pan card detail aadhar card plz help sir
Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,HACKER IS ASKING MONEY ON MY BEHALF FROM MY FRIENDS ON  THIS NO I AM SHARING ALL THE SUPPORTING  EVIDENCE  WHICH IS SHOWING THAT HACKER HAS OPEN ANOTHER ACCOUNT BY USING MY ID INFORMATIONS AND NOW HE IS ASKING MONEY FROM THE PEOPLES Now i have changed my profile pic on facebook,hacker ask money behalf friend share support evid show hacker open anoth account use id inform ask money peopl chang profil pic facebook
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,,nan
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"last  days i face with some loan app in playstore
i dont install that app but they told me you take a loan from him and pay amt immedeatly
peony loan app hack my mobile and contact my relative and missbehave with them and money",last day face loan app playstor dont instal app told take loan pay amt immedeatli peoni loan app hack mobil contact rel missbehav money
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,This is to inform you that JV Jain college Saharanpur   is a Post Graduate Govtaided Educational Institution affiliated to CCS University Meerut The college has installed an IBM server for maintaining the data of the students and administrative activitieswork This server is not working from yesterday AM While resolving the error the computer expert has found that all the files of the server are encrypted and a PDF file has been placed on the desktop attached which was showing that the server is  hacked by unidentified persons and showing encrypted all the files related to the ERP software and soul software and displaying the message  All your files have been encrypted,inform jv jain colleg saharanpur post graduat govtaid educ institut affili cc univers meerut colleg instal ibm server maintain data student administr activitieswork server work yesterday resolv error comput expert found file server encrypt pdf file place desktop attach show server hack unidentifi person show encrypt file relat erp softwar soul softwar display messag file encrypt
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,My name Ram Naresh hai  Mera pen card number FEKPRF hai sir Mera zestmoney account hack ho gaya hai pahle  hajar rupaye ka  loan  Activa  hajar rupaye ka loan Activa hua fer  loan Activa Kar liya  sir mere pass call a thi es namber se  bol raha tha zest Money se bol  raha hu ek OTP chahiye uske bad mere loan active Ho Gaya uska  mobail namber  email rajkumargmilcom yeh hai sir please halp me,name ram naresh hai mera pen card number fekprf hai sir mera zestmoney account hack ho gaya hai pahl hajar rupay ka loan activa hajar rupay ka loan activa hua fer loan activa kar liya sir mere pass call thi es namber se bol raha tha zest money se bol raha hu ek otp chahiy usk bad mere loan activ ho gaya uska mobail namber email rajkumargmilcom yeh hai sir pleas halp
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,I person on whatsaap threatening me by saying he will hack my call he said he is from loan department and my seniors  from my previous  working company which I left because he did not give salary  to their company took loan from that person company  now he is threatening  me,person whatsaap threaten say hack call said loan depart senior previou work compani left give salari compani took loan person compani threaten
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,The person has hacked my phone model details my telegram account through whatsapp he is repeatedly calling and texting he keeps sending sms he also sent a personal photo of mine through whatsapp and constantly texts,person hack phone model detail telegram account whatsapp repeatedli call text keep send sm also sent person photo mine whatsapp constantli text
Hacking  Damage to computercomputer system etc,Email Hacking,Someone has hacked into our company email ID with the intent to harm us and our business Since we have tried to escalate the matter with google multiple times they have denied our account recovery request which implies that they are intentionally sabotaging us,someon hack compani email id intent harm us busi sinc tri escal matter googl multipl time deni account recoveri request impli intent sabotag us
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"I took a loan and payed all loan but they hacked my media and content list 
Now have started calling my contact list number actually they want more amount from me I have all payment evidence
Please help ma",took loan pay loan hack media content list start call contact list number actual want amount payment evid pleas help
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"Sir 
   Jin loan se app liya tha unka payment kar diya But kch fraud app aise v hai jo bina loan liye repayment ko bolte hai aur bhot dhamkate hai hamare pura contact list ko unhone hack kar liya hai wo bhut buri tarah iska misuse karenge unhone aisa bol ke dhamki diya  Kuch loan app hai ye sb Bellon app Ag loan  crazy cash crazy com Mi credit  cash bus  cash credit  sir ye log bhut buri tarah dhamkate hii sir vinamr agrah hai ki inka app ko fraud ghosit karke close kar dena chahiye Aur v bhut sare log is se pirit hai jb maine you tube pe complaint karne ko dekha tb mujhme hosla aaya aur maine aapke cyber crime online reporting portal pe complaint kiya av Aur sir aage mere aadhar card aur pan card se agar koi gair kanuni kaam ko ye anjaam dete hai to uski jawabdehi meri nahi hogi  Please sir take hard action against all fraud loan app please sir please",sir jin loan se app liya tha unka payment kar diya kch fraud app ais v hai jo bina loan liy repay ko bolt hai aur bhot dhamkat hai hamar pura contact list ko unhon hack kar liya hai wo bhut buri tarah iska misus kareng unhon aisa bol ke dhamki diya kuch loan app hai ye sb bellon app ag loan crazi cash crazi com mi credit cash bu cash credit sir ye log bhut buri tarah dhamkat hii sir vinamr agrah hai ki inka app ko fraud ghosit kark close kar dena chahiy aur v bhut sare log se pirit hai jb main tube pe complaint karn ko dekha tb mujhm hosla aaya aur main aapk cyber crime onlin report portal pe complaint kiya av aur sir aag mere aadhar card aur pan card se agar koi gair kanuni kaam ko ye anjaam dete hai uski jawabdehi meri nahi hogi pleas sir take hard action fraud loan app pleas sir pleas
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,On February thn I anonymously received Rs in my bank account  I started receiving derogatory messages on whatsapp and on calls the very next day  Now they are asking me to pay rs Otherwise they will send abusive texts and call to my relatives and will edit my official KYC photo and leak it,februari thn anonym receiv rs bank account start receiv derogatori messag whatsapp call next day ask pay rs otherwis send abus text call rel edit offici kyc photo leak
Hacking  Damage to computercomputer system etc,Email Hacking,Sir mera email Id jo ki abhiranjan gmail com h kal raat   kisi ne hack kar liya or uska no v  change kar diya h jiski wajah se mere mobile or laptop me sign in ni ho paa raha h or email ki help se mera instagram ka Id ka v password change kar diya gya tha kripya kar k mera email Id block karwa de ya mujhe uska password recover karwa dijiye aapse aagarah  h ki jo v ye kiya h use kari se kari saja mile,sir mera email id jo ki abhiranjan gmail com h kal raat kisi ne hack kar liya uska v chang kar diya h jiski wajah se mere mobil laptop sign ni ho paa raha h email ki help se mera instagram ka id ka v password chang kar diya gya tha kripya kar k mera email id block karwa de ya mujh uska password recov karwa dijiy aaps aagarah h ki jo v ye kiya h use kari se kari saja mile
Hacking  Damage to computercomputer system etc,Tampering with computer source documents,days loan app hai jo muze mere pancard ke photo par farud like kar mere contact list me msg send kar raha hai please help me Muze gali de rahe hai contact list par contact par call kar rahe hai,day loan app hai jo muze mere pancard ke photo par farud like kar mere contact list msg send kar raha hai pleas help muze gali de rahe hai contact list par contact par call kar rahe hai
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"Dear SirMaam
i rajkamal citizen of uttar pradesh has been frauded by dhani fanacial application i use dhani application but they said to gave an confermation of ruppes  but i denined that payment but after one day on th jan  the payment of  was made by my dhani card without my authentication after that another transections were made in   fastag rechage on th jan   fastag rechange on th jan    fastag recharge on th jaan after that i blocked my card and complints it about to dhani and up police  complains number   and Dhani complaint numbers      is not resolve   but i m not geeting resolution of this please help me from this fraudWe are getting threats to spoil CIBIL score by calling us from Dhani Freedom Card tell me what should I do now the transection which were done by  my dhani card are atteched below and the statement of cards too  
The transection done by the paytm no  paytm
the scernshot is attached with it 
i will be very thankful please resolve it ",dear sirmaam rajkam citizen uttar pradesh fraud dhani fanaci applic use dhani applic said gave conferm rupp denin payment one day th jan payment made dhani card without authent anoth transect made fastag rechag th jan fastag rechang th jan fastag recharg th jaan block card complint dhani polic complain number dhani complaint number resolv geet resolut pleas help fraudw get threat spoil cibil score call us dhani freedom card tell transect done dhani card attech statement card transect done paytm paytm scernshot attach thank pleas resolv
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,In the morning we received a mobile call from  He told me your bsnl sim kyc is due we will help you to do kyc I will guide you to download bsnl kyc app for updating kyc and same i was downloaded then he told me to recharge your sim for activation of kyc when I entered my credit card detail  PNB bank to recharge he hacked my mobile phone and done the transaction himself then I feel that fraud has been done then I blocked my credit card with the help of customer care and matter was reported to cyber crime cell Bareilly on,morn receiv mobil call told bsnl sim kyc due help kyc guid download bsnl kyc app updat kyc download told recharg sim activ kyc enter credit card detail pnb bank recharg hack mobil phone done transact feel fraud done block credit card help custom care matter report cyber crime cell bareilli
Hacking  Damage to computercomputer system etc,Website DefacementHacking,"httpssuvidhaepaycom
company some id given aadhar center and online money tranfer Recharges all online working justb pay  so im paying amny person not respending  pls clear the problem that company phone numbers is and 
httpssuvidhaepaycomuserDefaultaspx",httpssuvidhaepaycom compani id given aadhar center onlin money tranfer recharg onlin work justb pay im pay amni person respend pl clear problem compani phone number httpssuvidhaepaycomuserdefaultaspx
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"Please help me they hacked my account phone number and contacts and photos they are blackmailing please find attached document and please help me 

They are harassing me and my friends please help me",pleas help hack account phone number contact photo blackmail pleas find attach document pleas help harass friend pleas help
Hacking  Damage to computercomputer system etc,Email Hacking,The hacker changed all my account credentials including phone number recovery email set as the same password and more unnoticed ones also I have managed to vhanhe my email address in my bank account DEMAT Account and insurance related account in ICICI bank Further I git to know about this yesterday when I was asked to verify myself while logging in and the gmail shows password changed  days ago kindly find the attached screenshot,hacker chang account credenti includ phone number recoveri email set password unnot one also manag vhanh email address bank account demat account insur relat account icici bank git know yesterday ask verifi log gmail show password chang day ago kindli find attach screenshot
Hacking  Damage to computercomputer system etc,Email Hacking,They have upload my Aadhar and pan card photo and saying that iam a rapist and wrote bad words about me and send that pic to all my contact which they have hackedand asking money to my all contacts Those persons were only calling on whatsapp numbers they had almost  or  different whatsapp numbersso Iam requesting you to find them and help everyone from this frauds,upload aadhar pan card photo say iam rapist wrote bad word send pic contact hackedand ask money contact person call whatsapp number almost differ whatsapp numbersso iam request find help everyon fraud
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,Sirmam meri sari contect list inohne hack car Li hai Mera adhar card aur pen card sab inke pass hai ye usko miss use kar rahe hai ye meri contect list per message bhej rahe hai aur unhe payment ke liye force kar rahe hai jabki main inko adha amount pay kar chuka hoon aur ye mero ko  dhamki de rahe hain ki appne agar payment nahi Kari to hum sari contect list per message aur call karte rahenge please action,sirmam meri sari contect list inohn hack car li hai mera adhar card aur pen card sab ink pass hai ye usko miss use kar rahe hai ye meri contect list per messag bhej rahe hai aur unh payment ke liy forc kar rahe hai jabki main inko adha amount pay kar chuka hoon aur ye mero ko dhamki de rahe hain ki appn agar payment nahi kari hum sari contect list per messag aur call kart raheng pleas action
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,I had taken a loan from koko loan app and loan home appI am already paid the amount but now they are continuously harrasing me and my family members and friends on social media like whatsapp and contact numbersThey hacked my contacts and calling my relatives and friends without my permission and they damage my social reputation and they are continuously threatening meThey misused my pan card and Aadhar cardAgain if they misused my documents in any where then I am not responsible,taken loan koko loan app loan home appi alreadi paid amount continu harras famili member friend social media like whatsapp contact numbersthey hack contact call rel friend without permiss damag social reput continu threaten methey misus pan card aadhar cardagain misus document respons
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,I have taken loan from this application before  days ago But not give any sanction letter or agreement And today they message me on whatsapp for payment but today is not due date when i told him today is not due date then they told me due to technical issues you have extra date due date And they send me a voice message on whatsapp and say they use my personal media as abusive and send my family and other contact and call him also,taken loan applic day ago give sanction letter agreement today messag whatsapp payment today due date told today due date told due technic issu extra date due date send voic messag whatsapp say use person media abus send famili contact call also
Hacking  Damage to computercomputer system etc,Email Hacking,My account has been hacked by someone with the contact number  he is claiming to be me and asking for money from my followers he has also contacted me saying if you want your id back then pay a ransom,account hack someon contact number claim ask money follow also contact say want id back pay ransom
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"Sir actually recently I was taken loan with loan app naming
 Skyloan 
 Infinity Cash 
 Sunshine loan 
 Minute Cash 
Kredit Bean 
Eze Loan 
 New Paisa 
 Wise Loan 
Agile loan 
Bellon Loan 
 Ok Rupee 
 Marvel 
 Sweet Loan 
Taken loan with this apps from play store during this covid situation and even paid them reguraly but this app shows the time period of only  days which they havent mentioned in play store and after giving every access of my phone they paid  percent of the amount and charge me  percent within  days
I paid them though but now they are not taking my permission and crediting the amount in my bank and force me to pay within  to  days I am saying why this is happening they said nothing says abusive languages and thretning me to call my contacts which they had access and will give them all my data of adhar card and pancard saying theif and rapist alert and even misuse them if i dont pay within  days Even saying they will expose me on social media
They are mentally torturing me every day and my contacts even saying will inform my local police about this that you had taken loan and you had to pay
Without informing me they credit the amount in my account and now I am pressurized for the payment
The app like sunshine loan and Agile loan and Bellon loan I just signin with all my documents in this app and veiwed the terms and contidition in that only they credited the amount without informing any charges and amount fees Pls help ",sir actual recent taken loan loan app name skyloan infin cash sunshin loan minut cash kredit bean eze loan new paisa wise loan agil loan bellon loan ok rupe marvel sweet loan taken loan app play store covid situat even paid regurali app show time period day havent mention play store give everi access phone paid percent amount charg percent within day paid though take permiss credit amount bank forc pay within day say happen said noth say abus languag thretn call contact access give data adhar card pancard say theif rapist alert even misus dont pay within day even say expos social media mental tortur everi day contact even say inform local polic taken loan pay without inform credit amount account pressur payment app like sunshin loan agil loan bellon loan signin document app veiw term contidit credit amount without inform charg amount fee pl help
Hacking  Damage to computercomputer system etc,Email Hacking,"SOME BODY CALL ME FROM THIS NO   SAID THAT U HAVE APPLIED FOR HDFC BANK CREDIT CARD  I M SENDING U GMAIL NOTIFICATIOIN FOR VERIFICATION  WHEN I CLICKED ON IT GMAIL SEND ME NOTIFICATION FOR PASSWORD CHANGEIMMEDIATELY I CHANGED MY PASSWORD  SAVE FROM GETTING FRAUD
PLS FILE COMPLAINT AGAINT ABOVE MENTIONING NUMBER
MY NAME IS SANJEEV SHARMA
CONTACT NUMBER IS ",bodi call said u appli hdfc bank credit card send u gmail notificatioin verif click gmail send notif password changeimmedi chang password save get fraud pl file complaint againt mention number name sanjeev sharma contact number
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,I had taken loan from handy loan and one loan appi am unable to pay repayment because i lost my job I had applied but he rejected my moratorium and now they are continuously harassing me on social media and they backed my contact and calling my relatives without my permission they damaged my social reqution and they are continuously threatening me my adhar and pan card hacking,taken loan handi loan one loan appi unabl pay repay lost job appli reject moratorium continu harass social media back contact call rel without permiss damag social requt continu threaten adhar pan card hack
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,MY FACEBOOK ID HACKING AND ILLEGAL USE HEACKR ID  MOB NO  AND NATIVE IS SALEM                   id,facebook id hack illeg use heackr id mob nativ salem id
Hacking  Damage to computercomputer system etc,Email Hacking,my both email id hacked on  jan  last time i used it on  jan  i tried to recover but hacker change mobile number and its security kindly check it and block this for tremprari due to safty reason,email id hack jan last time use jan tri recov hacker chang mobil number secur kindli check block tremprari due safti reason
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,I took the loan from this fake app they stole my data and contact list now they are harassing by calling entire contact list I have paid the loan still they are harassing and asking for money Threatening me that they will use and will block my adahar card and pan card for criminal activity They are also abusing my knows on call,took loan fake app stole data contact list harass call entir contact list paid loan still harass ask money threaten use block adahar card pan card crimin activ also abus know call
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,The mobile number  was linked to my heytap cloud driveI never given this access to this number My cloud drive is confidential and files are stolenThis is done unknowinglyThe person was deliberately peep in to my account,mobil number link heytap cloud drivei never given access number cloud drive confidenti file stolenthi done unknowinglyth person deliber peep account
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"I enquired about Loan by downloading the A G Loan app But then after enquiry I found that it is unregistered with RBI and  I deleted the app On th February they messaged me that I have took loan of  and I have to repay I checked my bank Account statement and saw that on nd of February INR  has been sent to me They messaged me and start harassment I did not took the loan from them They do not have any sanction
letter They did not send any loan confirmation that day I mailed to the company about the incident but they are not responding to my mail I asked the recovery agent to provide details about Loan sanction letter approval letter GSTIN Details but they said they do not have it Please help me sir because there are lot numbers of these kind of fraudulent apps who are unregistered with RBI are doing harassment to many people RBI has made a portal called SACHET for this kind of fraud apps and I am reporting this incident to RBI as well but the recovery agent is continuously messaging me and giving threats
They are running call centers and their only job is to harass the people There are many cases of these kind is reporting these days across various Cyber Cells in the country",enquir loan download g loan app enquiri found unregist rbi delet app th februari messag took loan repay check bank account statement saw nd februari inr sent messag start harass took loan sanction letter send loan confirm day mail compani incid respond mail ask recoveri agent provid detail loan sanction letter approv letter gstin detail said pleas help sir lot number kind fraudul app unregist rbi harass mani peopl rbi made portal call sachet kind fraud app report incid rbi well recoveri agent continu messag give threat run call center job harass peopl mani case kind report day across variou cyber cell countri
Hacking  Damage to computercomputer system etc,Tampering with computer source documents,"the above is the attached file with evdence and the complaint reported against it
the hacker has hacked my laptop and cell phone an both were connected at the time of inccident
he is threatenting me to share nude photoshop images with my face on it Further  he has sent it to all my business contact and my relative as well
 the above attached file will give you a clear idea of the inccident",attach file evdenc complaint report hacker hack laptop cell phone connect time inccid threatent share nude photoshop imag face sent busi contact rel well attach file give clear idea inccid
Hacking  Damage to computercomputer system etc,Email Hacking,"Dear sir
I have received an email on my email id infoahginternationaltradecom that we are interested in purchasing your product I have replied to them with company catalogue and asked their company information They sent back email mentioning that they have sent a purchase order in the email To view purchase order you need to open the link containing in the email and enter your email id and password Iafter clicked on the link I moved to another site and i entered my newly created email id which is infoahginternationaltradegmailcom and password but nothing happned Then I closed the window and reopened the window and deleted the received and sent emails I have received thinking that may be virus contain in the email on the next day I received email from google that your email Id is suspended When I recovered my email account I think that something wrong happened to may email account and activated  step verification for the account Then contacted google from my paid email account and reported them this issue I have created new email account so that I can close my paid email account and use free gmail account but this incident happened Till today also I am receiving phishing and hacking emails",dear sir receiv email email id infoahginternationaltradecom interest purchas product repli compani catalogu ask compani inform sent back email mention sent purchas order email view purchas order need open link contain email enter email id password iafter click link move anoth site enter newli creat email id infoahginternationaltradegmailcom password noth happn close window reopen window delet receiv sent email receiv think may viru contain email next day receiv email googl email id suspend recov email account think someth wrong happen may email account activ step verif account contact googl paid email account report issu creat new email account close paid email account use free gmail account incid happen till today also receiv phish hack email
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,As soon as the theft was realized a lost my phone complaint was lodged using another phone along with the phone number to be contacted if the lost device is found The apple ID of the user was hacked and a false URL was sent on the recovery phone number twice Upon clicking the URL the location of the device was shown as Canaught Place and later the device could not be tracked The URL was not sent from authentic apple source as confirmed by apple customer service centre,soon theft realiz lost phone complaint lodg use anoth phone along phone number contact lost devic found appl id user hack fals url sent recoveri phone number twice upon click url locat devic shown canaught place later devic could track url sent authent appl sourc confirm appl custom servic centr
Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Sir  Problem for one person he is black mail to me sir photos audios this are datas blackmail to me sri love panuganu tocher panraga this is my sister problem soplease slove it sri 
Please clear the that mobile number clear data sir please solve it sir please please please",sir problem one person black mail sir photo audio data blackmail sri love panuganu tocher panraga sister problem sopleas slove sri pleas clear mobil number clear data sir pleas solv sir pleas pleas pleas
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,"Sir ji mene Samy cash loan app se loan ke liye apply kiya tha or  usme  ka loan ka batakar  rs mere account me daal diye or mere se  rs mang rahe h or mere riletives ko cll or msg krke muje badanam kr rhe h jisse muje logo ke samne jane me bhi problem ho rhi h or ek do app or usse bhi yahi haal kuch app to essj h jisse mene loan liya bhi nhi h vo bhi muje pareshan kr rhe h sir please mere mamle me dhayan dekar jald se jald karvahi kare muje bohot problem ho rhi h mere pancard or adhar card ka bhi miss use kr sakte h sir please meri help kare 
Thank you soo much",sir ji mene sami cash loan app se loan ke liy appli kiya tha usm ka loan ka batakar rs mere account daal diy mere se rs mang rahe h mere rilet ko cll msg krke muje badanam kr rhe h jiss muje logo ke samn jane bhi problem ho rhi h ek app uss bhi yahi haal kuch app essj h jiss mene loan liya bhi nhi h vo bhi muje pareshan kr rhe h sir pleas mere maml dhayan dekar jald se jald karvahi kare muje bohot problem ho rhi h mere pancard adhar card ka bhi miss use kr sakt h sir pleas meri help kare thank soo much
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,I took a loan from an app called  loan home  I have paid my amount but it is still pending in the app The loan agents have my contact list and they are calling my contacts and harassing me badly They are sending me whatsapp msgs ans calls and have hacked my phone,took loan app call loan home paid amount still pend app loan agent contact list call contact harass badli send whatsapp msg an call hack phone
Hacking  Damage to computercomputer system etc,Unauthorised AccessData Breach,I had borrowed loan from some loan apps like handy loan Richcash Cashbus money tree Wowrupee Due to my financial situation I am unable to repay immediately but I paid some app due loan but they told it is not paid They continuously forcing me to pay and harassing me Also they hacked my contact list and information through the app they keep on forwarding my AADHAR and  PAN details to everyone in my contact list and asking money to everyone I have received more than  calls for each and every day They made calls and defame messages about me to my contact people This lead to my carrier and reputation damage They continuously harassing me like this For security purposes i have changed my WhatsApp number Finally i fell into depression and  suicidal thoughts have been running in my mind My family and friends are too afraid of this depression i am into  now Kindly do the needy and take the action and please remove this type of loan apps from the google play store This could lead to saving many people lives from this fraudulent apps Thank you,borrow loan loan app like handi loan richcash cashbu money tree wowrupe due financi situat unabl repay immedi paid app due loan told paid continu forc pay harass also hack contact list inform app keep forward aadhar pan detail everyon contact list ask money everyon receiv call everi day made call defam messag contact peopl lead carrier reput damag continu harass like secur purpos chang whatsapp number final fell depress suicid thought run mind famili friend afraid depress kindli needi take action pleas remov type loan app googl play store could lead save mani peopl live fraudul app thank
